SCHNAME,ADDRESS1,TOWN,PCODE,TELNUM,ADMPOL_PT,GEND1618,AGERANGE,TPUP1618,TALLPPE_ALEV_1618,TB3PTSE,YEAR,YEAR_SCORES,full_address,Latitude,Longitude
The Leys School,Trumpington Road,Cambridge,CB2 7AD,1223508900,,MIXED, 11-19,219.0,45.173333333333325,45.196666666666665,2023-2024,2021-2022: 43.44<br>2022-2023: 44.49<br>2023-2024: 47.66,"Trumpington Road, Cambridge, CB2 7AD",52.197009996603,0.1217941661
The Grammar School At Leeds,Alwoodley Gates,Leeds,LS17 8GS,1132291552,,MIXED, 3-19,403.0,45.07666666666666,45.18333333333333,2023-2024,2021-2022: 46.65<br>2022-2023: 44.58<br>2023-2024: 44.32,"Alwoodley Gates, Leeds, LS17 8GS",53.8649425953,-1.518539507649
Wallington High School for Girls,Woodcote Road,Wallington,SM6 0PH,2086472380,SEL,GIRLS, 11-18,500.0,45.26,45.17666666666667,2023-2024,2021-2022: 47.49<br>2022-2023: 43.11<br>2023-2024: 44.93,"Woodcote Road, Wallington, SM6 0PH",51.348390497577,-0.14813806846
Prior's Field School,Priors Field Road,Godalming,GU7 2RH,1483810551,,GIRLS, 11-20,52.0,43.336666666666666,45.16,2023-2024,2021-2022: 48.89<br>2022-2023: 44.62<br>2023-2024: 41.97,"Priors Field Road, Godalming, GU7 2RH",51.20842199797,-0.641983828081
Westcliff High School for Boys Academy,Kenilworth Gardens,Westcliff-on-Sea,SS0 0BP,1702475443,SEL,MIXED, 11-18,370.0,44.74,45.14333333333334,2023-2024,2021-2022: 47.15<br>2022-2023: 41.99<br>2023-2024: 46.29,"Kenilworth Gardens, Westcliff-on-Sea, SS0 0BP",51.553560212553,0.669608741597
Tormead School,Cranley Road,Guildford,GU1 2JD,1483575101,,GIRLS, 4-18,119.0,45.41,45.13333333333333,2023-2024,2021-2022: 46.60<br>2022-2023: 45.06<br>2023-2024: 43.74,"Cranley Road, Guildford, GU1 2JD",51.242683884335,-0.555047113707
Nonsuch High School for Girls,Ewell Road,Sutton,SM3 8AB,2083943400,SEL,GIRLS, 11-18,448.0,45.080000000000005,45.11000000000001,2023-2024,2021-2022: 48.13<br>2022-2023: 44.17<br>2023-2024: 43.03,"Ewell Road, Sutton, SM3 8AB",51.355476583906,-0.222526968085
The Queen's School,City Walls Road,Chester,CH1 2NN,1244312078,,GIRLS, 5-18,70.0,45.07333333333333,45.10666666666666,2023-2024,2021-2022: 48.13<br>2022-2023: 42.46<br>2023-2024: 44.73,"City Walls Road, Chester, CH1 2NN",53.190889869906,-2.897910798387
Beaconsfield High School,Wattleton Road,Beaconsfield,HP9 1RR,1494673043,SEL,GIRLS, 11-18,350.0,45.34,45.096666666666664,2023-2024,2021-2022: 47.85<br>2022-2023: 44.50<br>2023-2024: 42.94,"Wattleton Road, Beaconsfield, HP9 1RR",51.603174745852,-0.643395809756
Royal Masonic School for Girls,Rickmansworth Park,Rickmansworth,WD3 4HF,1923773168,,GIRLS, 2-18,190.0,44.416666666666664,45.09,2023-2024,2021-2022: 44.63<br>2022-2023: 44.63<br>2023-2024: 46.01,"Rickmansworth Park, Rickmansworth, WD3 4HF",51.648000703029,-0.473628994298
Clifton College,Guthrie Road,Bristol,BS8 3EZ,1173157000,,MIXED, 2-19,341.0,43.73,45.06333333333333,2023-2024,2021-2022: 46.35<br>2022-2023: 44.96<br>2023-2024: 43.88,"Guthrie Road, Bristol, BS8 3EZ",51.463018222607,-2.619505106675
St Benedict's School,54 Eaton Rise,,W5 2ES,2088622000,,MIXED, 3-18,191.0,45.01666666666667,45.06,2023-2024,2021-2022: 47.22<br>2022-2023: 42.89<br>2023-2024: 45.07,"54 Eaton Rise, nan, W5 2ES",51.520626410619,-0.306745218256
Chesham Grammar School,White Hill,Chesham,HP5 1BA,1494782854,SEL,MIXED, 11-18,402.0,44.96666666666667,45.03666666666667,2023-2024,2021-2022: 45.63<br>2022-2023: 43.82<br>2023-2024: 45.66,"White Hill, Chesham, HP5 1BA",51.708823480508,-0.600107303169
Tunbridge Wells Girls' Grammar School,Southfield Road,Tunbridge Wells,TN4 9UJ,1892520902,SEL,GIRLS, 11-18,278.0,45.04666666666666,45.02333333333333,2023-2024,2021-2022: 48.35<br>2022-2023: 42.26<br>2023-2024: 44.46,"Southfield Road, Tunbridge Wells, TN4 9UJ",51.144790505592,0.258275102944
King Edward VI Five Ways School,Scotland Lane,Birmingham,B32 4BT,1214753535,SEL,MIXED, 11-18,401.0,45.47,45.01666666666667,2023-2024,2021-2022: 46.00<br>2022-2023: 43.37<br>2023-2024: 45.68,"Scotland Lane, Birmingham, B32 4BT",52.432099498078,-1.999308793805
Claremont Fan Court School,Claremont Drive,,KT10 9LY,1372467841,,MIXED, 2-18,162.0,44.04999999999999,45.01333333333334,2023-2024,2021-2022: 47.21<br>2022-2023: 43.66<br>2023-2024: 44.17,"Claremont Drive, nan, KT10 9LY",51.358267185911,-0.370775498622
St Peter's School 2-18,Clifton,York,YO30 6AB,1904527300,,MIXED, 2-18,271.0,45.026666666666664,44.906666666666666,2023-2024,2021-2022: 48.55<br>2022-2023: 42.55<br>2023-2024: 43.62,"Clifton, York, YO30 6AB",53.966473510473,-1.091956249947
Cranleigh School,Horseshoe Lane,Cranleigh,GU6 8QQ,1483542131,,MIXED, 7-19,343.0,44.379999999999995,44.900000000000006,2023-2024,2021-2022: 46.15<br>2022-2023: 44.81<br>2023-2024: 43.74,"Horseshoe Lane, Cranleigh, GU6 8QQ",51.150389407366,-0.49350567185
Sir Thomas Rich's School,Oakleaze,Gloucester,GL2 0LF,1452338400,SEL,MIXED, 11-18,482.0,45.029999999999994,44.873333333333335,2023-2024,2021-2022: 46.29<br>2022-2023: 44.23<br>2023-2024: 44.10,"Oakleaze, Gloucester, GL2 0LF",51.872982383647,-2.20577292247
Loreto Grammar School,Dunham Road,Altrincham,WA14 4AH,1619283703,SEL,GIRLS, 11-18,241.0,44.910000000000004,44.873333333333335,2023-2024,2021-2022: 46.00<br>2022-2023: 42.53<br>2023-2024: 46.09,"Dunham Road, Altrincham, WA14 4AH",53.387629330285,-2.356998524349
Warwick School,Myton Road,Warwick,CV34 6PP,1926776400,,BOYS, 7-19,303.0,44.626666666666665,44.830000000000005,2023-2024,2021-2022: 47.81<br>2022-2023: 42.07<br>2023-2024: 44.61,"Myton Road, Warwick, CV34 6PP",52.279045723039,-1.578119276825
Farnborough Hill,Farnborough Road,Farnborough,GU14 8AT,1252545197,,GIRLS, 11-18,75.0,45.02333333333334,44.81666666666666,2023-2024,2021-2022: 47.90<br>2022-2023: 43.22<br>2023-2024: 43.33,"Farnborough Road, Farnborough, GU14 8AT",51.30106547999,-0.752683875871
Yavneh College,Hillside Avenue,Borehamwood,WD6 1HL,2087365580,OTHER NON SEL,MIXED, 11-18,245.0,44.79,44.779999999999994,2023-2024,2021-2022: 47.32<br>2022-2023: 44.47<br>2023-2024: 42.55,"Hillside Avenue, Borehamwood, WD6 1HL",51.654232158822,-0.268553386522
"The Royal Grammar School, High Wycombe",Amersham Road,High Wycombe,HP13 6QT,1494524955,SEL,BOYS, 11-18,414.0,44.69,44.77333333333333,2023-2024,2021-2022: 47.29<br>2022-2023: 44.51<br>2023-2024: 42.52,"Amersham Road, High Wycombe, HP13 6QT",51.640588117392,-0.737558666255
Haileybury College,,Hertford,SG13 7NU,1992706200,,MIXED, 11-18,365.0,44.56,44.76,2023-2024,2023-2024: 44.76,"nan, Hertford, SG13 7NU",51.779139098608,-0.03257467413
St Paul's School for Girls,Vernon Road,Birmingham,B16 9SL,1214540895,OTHER NON SEL,GIRLS, 11-18,192.0,44.056666666666665,44.75333333333333,2023-2024,2021-2022: 46.67<br>2022-2023: 42.87<br>2023-2024: 44.72,"Vernon Road, Birmingham, B16 9SL",52.475398817321,-1.941051213975
Sir John Deane's Sixth Form College,Monarch Drive,Northwich,CW9 8AF,1606810020,,MIXED, 16-19,1854.0,44.31,44.75,2023-2024,2023-2024: 44.75,"Monarch Drive, Northwich, CW9 8AF",53.248220348381,-2.516561151723
St Francis College,Broadway,Letchworth Garden City,SG6 3PJ,1462670511,,GIRLS, 3-18,69.0,44.406666666666666,44.75,2023-2024,2021-2022: 46.31<br>2022-2023: 41.67<br>2023-2024: 46.27,"Broadway, Letchworth Garden City, SG6 3PJ",51.971019506794,-0.232792058291
